Character,Transcriptions,Fanqie,Sixtuples,Identifiers
㤕,trhwit;trwit,丑律;竹律,臻合三入諄徹;臻合三入諄知,3328;3329
𤝞,trhwit,丑律,臻合三入諄徹,3328
窋,trwit,竹律,臻合三入諄知,3329
絀,trwit,竹律,臻合三入諄知,3329
䂐,trwit;tsywet,竹律;職悅,臻合三入諄知;山合三入仙章,3329;3510
㑁,trwit,竹律,臻合三入諄知,3329
逫,trwit,竹律,臻合三入諄知,3329
𡢑,trwit,竹律,臻合三入諄知,3329
泏,trwit;khwot,竹律;苦骨,臻合三入諄知;臻合一入魂溪,3329;3382
𦬸,drwit,直律,臻合三入諄澄,3330
炢,drwit,直律,臻合三入諄澄,3330
黢,tshwit,倉聿,臻合三入諄清,3332
𠭴,tsrwit;tsywet,側律;職悅,臻合三入諄莊;山合三入仙章,3333;3510
𦦖,tsrwit,側律,臻合三入諄莊,3333
䎉,xwit,許聿,臻合三入諄曉,3334
怴,xwit,許聿,臻合三入諄曉,3334
䬂,xwit;xjwot,許聿;許月,臻合三入諄曉;山合三入元曉,3334;3363
𥄵,xwit,許聿,臻合三入諄曉,3334
櫛,tsrit,阻瑟,臻開三入臻莊,3335
瀄,tsrit,阻瑟,臻開三入臻莊,3335
㘉,tsrit,阻瑟,臻開三入臻莊,3335
𥠈,tsrit,阻瑟,臻開三入臻莊,3335
擳,tsrit,阻瑟,臻開三入臻莊,3335
瑟,srit,所櫛,臻開三入臻生,3336
飋,srit,所櫛,臻開三入臻生,3336
蝨,srit,所櫛,臻開三入臻生,3336
虱,srit,所櫛,臻開三入臻生,3336
璱,srit,所櫛,臻開三入臻生,3336
𦆄,srit,所櫛,臻開三入臻生,3336
物,mjut,文弗,臻合三入文明,3338
勿,mjut,文弗,臻合三入文明,3338
芴,mjut,文弗,臻合三入文明,3338
𣃦,mjut,文弗,臻合三入文明,3338
岉,mjut,文弗,臻合三入文明,3338
𨑥,mjut;xwot,文弗;呼骨,臻合三入文明;臻合一入魂曉,3338;3378
昒,mjut;xwot,文弗;呼骨,臻合三入文明;臻合一入魂曉,3338;3378
弗,pjut,分勿,臻合三入文幫,3339
紱,pjut,分勿,臻合三入文幫,3339
黻,pjut,分勿,臻合三入文幫,3339
綍,pjut,分勿,臻合三入文幫,3339
紼,pjut,分勿,臻合三入文幫,3339
巿,pjut,分勿,臻合三入文幫,3339
𨚓,pjut,分勿,臻合三入文幫,3339
翇,pjut,分勿,臻合三入文幫,3339
柫,pjut,分勿,臻合三入文幫,3339
𡗻,pjut,分勿,臻合三入文幫,3339
冹,pjut;pjot,分勿;方伐,臻合三入文幫;山合三入元幫,3339;3361
帗,pjut;pat,分勿;北末,臻合三入文幫;山合一入桓幫,3339;3408
𩖼,pjut,分勿,臻合三入文幫,3339
笰,pjut,分勿,臻合三入文幫,3339
𤊸,pjut,分勿,臻合三入文幫,3339
甶,pjut,分勿,臻合三入文幫,3339
鬱,'jut,紆物,臻合三入文影,3340
欝,'jut,紆物,臻合三入文影,3340
灪,'jut,紆物,臻合三入文影,3340
爩,'jut,紆物,臻合三入文影,3340
𩚴,'jut;'jwot,紆物;於月,臻合三入文影;山合三入元影,3340;3358
黦,'jut;'jwot;'jot,紆物;於月;於歇,臻合三入文影;山合三入元影;山開三入元影,3340;3358;3364
𥘄,'jut,紆物,臻合三入文影,3340
𩰪,'jut,紆物,臻合三入文影,3340
𠀔,kjut,九勿,臻合三入文見,3341
孒,kjut;kjwot,九勿;居月,臻合三入文見;山合三入元見,3341;3357
𦁐,kjut;khjwot,九勿;去月,臻合三入文見;山合三入元溪,3341;3360
厥,kjut;kjwot,九勿;居月,臻合三入文見;山合三入元見,3341;3357
屈,kjut;khjut,九勿;區勿,臻合三入文見;臻合三入文溪,3341;3342
鶌,kjut,九勿,臻合三入文見,3341
趉,kjut,九勿,臻合三入文見,3341
䠇,kjut;gjut,九勿;衢物,臻合三入文見;臻合三入文群,3341;3343
詘,khjut,區勿,臻合三入文溪,3342
𧌑,khjut,區勿,臻合三入文溪,3342
倔,gjut,衢物,臻合三入文群,3343
崛,gjut;ngjut,衢物;魚勿,臻合三入文群;臻合三入文疑,3343;3348
𡲬,gjut,衢物,臻合三入文群,3343
䘿,gjut,衢物,臻合三入文群,3343
𡲗,gjut,衢物,臻合三入文群,3343
堀,gjut;khwot,衢物;苦骨,臻合三入文群;臻合一入魂溪,3343;3382
掘,gjut;gjwot,衢物;其月,臻合三入文群;山合三入元群,3343;3359
佛,bjut,符弗,臻合三入文並,3344
坲,bjut,符弗,臻合三入文並,3344
𡶒,bjut,符弗,臻合三入文並,3344
咈,bjut,符弗,臻合三入文並,3344
䞞,bjut,符弗,臻合三入文並,3344
刜,bjut;phjut,符弗;敷勿,臻合三入文並;臻合三入文滂,3344;3347
炥,bjut,符弗,臻合三入文並,3344
𣀣,bjut,符弗,臻合三入文並,3344
䬍,xjut,許勿,臻合三入文曉,3345
𩘐,xjut,許勿,臻合三入文曉,3345
欻,xjut,許勿,臻合三入文曉,3345
𦱧,xjut,許勿,臻合三入文曉,3345
㗵,xjut,許勿,臻合三入文曉,3345
烼,xjut,許勿,臻合三入文曉,3345
𢯮,hjut,王勿,臻合三入文云,3346
䁌,hjut,王勿,臻合三入文云,3346
𢔥,hjut,王勿,臻合三入文云,3346
拂,phjut,敷勿,臻合三入文滂,3347
𢂀,phjut,敷勿,臻合三入文滂,3347
祓,phjut,敷勿,臻合三入文滂,3347
艴,phjut;bwot,敷勿;蒲没,臻合三入文滂;臻合一入魂並,3347;3373
乀,phjut,敷勿,臻合三入文滂,3347
䭮,phjut,敷勿,臻合三入文滂,3347
𧿳,phjut,敷勿,臻合三入文滂,3347
彿,phjut,敷勿,臻合三入文滂,3347
迄,xjɨt,許迄,臻開三入欣曉,3349
仡,xjɨt;ngjɨt,許迄;魚迄,臻開三入欣曉;臻開三入欣疑,3349;3351
釳,xjɨt,許迄,臻開三入欣曉,3349
忔,xjɨt,許迄,臻開三入欣曉,3349
