Character,Transcriptions,Fanqie,Sixtuples,Identifiers
𦍒,that,他達,山開一入寒透,3393
達,that;dat,他達;唐割,山開一入寒透;山開一入寒定,3393;3397
韃,that,他達,山開一入寒透,3393
遏,'at,烏葛,山開一入寒影,3394
齃,'at,烏葛,山開一入寒影,3394
頞,'at,烏葛,山開一入寒影,3394
堨,'at,烏葛,山開一入寒影,3394
胺,'at,烏葛,山開一入寒影,3394
咹,'at,烏葛,山開一入寒影,3394
𠥜,'at,烏葛,山開一入寒影,3394
剌,lat,盧達,山開一入寒來,3395
揧,lat,盧達,山開一入寒來,3395
辢,lat,盧達,山開一入寒來,3395
辣,lat,盧達,山開一入寒來,3395
瘌,lat,盧達,山開一入寒來,3395
攋,lat,盧達,山開一入寒來,3395
𢈠,lat,盧達,山開一入寒來,3395
轢,lat;lak;lek,盧達;盧各;郎擊,山開一入寒來;宕開一入唐來;梗開四入青來,3395;3570;3673
𢃴,lat,盧達,山開一入寒來,3395
䶛,lat,盧達,山開一入寒來,3395
㻝,lat,盧達,山開一入寒來,3395
𥈙,lat,盧達,山開一入寒來,3395
楋,lat,盧達,山開一入寒來,3395
喇,lat,盧達,山開一入寒來,3395
蝲,lat,盧達,山開一入寒來,3395
渴,khat;gjet,苦曷;渠列,山開一入寒溪;山開三入仙群,3396;3492
㵣,khat,苦曷,山開一入寒溪,3396
𤸎,khat,苦曷,山開一入寒溪,3396
嵑,khat,苦曷,山開一入寒溪,3396
䅥,khat;kjet,苦曷;居列,山開一入寒溪;山開三入仙見,3396;3519
瞌,khat,苦曷,山開一入寒溪,3396
薘,dat,唐割,山開一入寒定,3397
